id,Latitude,Longitude,Date Local,AQI,Population,White Alone,Hispanic/Latino,Black or African American Alone,Asian/Pacific Islander,Some Other Race Alone
305,33.553056,-86.815,11/13/2022,23,3.421269886,244.0836252,55.34433803,2948.717949,79310.34483,220.8353337
304,33.553056,-86.815,11/12/2022,25,3.718771615,265.3082882,60.15688917,3205.128205,86206.89655,240.0384061
303,33.553056,-86.815,11/11/2022,24,3.570020751,254.6959567,57.7506136,3076.923077,82758.62069,230.4368699
302,33.553056,-86.815,11/10/2022,38,5.652532855,403.2685981,91.43847153,4871.794872,131034.4828,364.8583773
301,33.553056,-86.815,11/9/2022,42,6.247536314,445.7179242,101.0635738,5384.615385,144827.5862,403.2645223
300,33.553056,-86.815,11/8/2022,34,5.057529397,360.819272,81.81336927,4358.974359,117241.3793,326.4522324
299,33.553056,-86.815,11/7/2022,33,4.908778532,350.2069405,79.4070937,4230.769231,113793.1034,316.8506961
298,33.553056,-86.815,11/6/2022,27,4.016273345,286.5329513,64.9694403,3461.538462,93103.44828,259.2414786
297,33.553056,-86.815,11/5/2022,27,4.016273345,286.5329513,64.9694403,3461.538462,93103.44828,259.2414786
296,33.553056,-86.815,11/4/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
295,33.553056,-86.815,11/3/2022,30,4.462525938,318.3699459,72.188267,3846.153846,103448.2759,288.0460874
294,33.553056,-86.815,11/2/2022,41,6.098785449,435.1055927,98.65729823,5256.410256,141379.3103,393.6629861
293,33.553056,-86.815,11/1/2022,39,5.80128372,413.8809296,93.8447471,5000,134482.7586,374.4599136
292,33.553056,-86.815,10/31/2022,28,4.165024209,297.1452828,67.37571587,3589.74359,96551.72414,268.8430149
599,33.485556,-86.915,10/31/2022,27,4.016273345,286.5329513,64.9694403,3461.538462,93103.44828,259.2414786
845,33.331111,-87.003611,10/31/2022,26,3.86752248,275.9206198,62.56316473,3333.333333,89655.17241,249.6399424
1082,33.545278,-86.549167,10/31/2022,27,4.016273345,286.5329513,64.9694403,3461.538462,93103.44828,259.2414786
1326,33.801667,-86.9425,10/31/2022,25,3.718771615,265.3082882,60.15688917,3205.128205,86206.89655,240.0384061
1572,33.578333,-86.773889,10/31/2022,24,3.570020751,254.6959567,57.7506136,3076.923077,82758.62069,230.4368699
291,33.553056,-86.815,10/30/2022,14,2.082512105,148.5726414,33.68785793,1794.871795,48275.86207,134.4215074
598,33.485556,-86.915,10/30/2022,17,2.528764698,180.409636,40.90668463,2179.487179,58620.68966,163.2261162
844,33.331111,-87.003611,10/30/2022,14,2.082512105,148.5726414,33.68785793,1794.871795,48275.86207,134.4215074
1081,33.545278,-86.549167,10/30/2022,13,1.93376124,137.9603099,31.28158237,1666.666667,44827.58621,124.8199712
1325,33.801667,-86.9425,10/30/2022,17,2.528764698,180.409636,40.90668463,2179.487179,58620.68966,163.2261162
1571,33.578333,-86.773889,10/30/2022,14,2.082512105,148.5726414,33.68785793,1794.871795,48275.86207,134.4215074
290,33.553056,-86.815,10/29/2022,38,5.652532855,403.2685981,91.43847153,4871.794872,131034.4828,364.8583773
597,33.485556,-86.915,10/29/2022,37,5.503781991,392.6562666,89.03219597,4743.589744,127586.2069,355.2568411
843,33.331111,-87.003611,10/29/2022,32,4.760027668,339.5946089,77.00081813,4102.564103,110344.8276,307.2491599
1080,33.545278,-86.549167,10/29/2022,36,5.355031126,382.0439351,86.6259204,4615.384615,124137.931,345.6553048
1324,33.801667,-86.9425,10/29/2022,40,5.950034585,424.4932612,96.25102267,5128.205128,137931.0345,384.0614498
1570,33.578333,-86.773889,10/29/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
289,33.553056,-86.815,10/28/2022,41,6.098785449,435.1055927,98.65729823,5256.410256,141379.3103,393.6629861
596,33.485556,-86.915,10/28/2022,39,5.80128372,413.8809296,93.8447471,5000,134482.7586,374.4599136
842,33.331111,-87.003611,10/28/2022,31,4.611276803,328.9822774,74.59454257,3974.358974,106896.5517,297.6476236
1079,33.545278,-86.549167,10/28/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
1323,33.801667,-86.9425,10/28/2022,43,6.396287178,456.3302558,103.4698494,5512.820513,148275.8621,412.8660586
1569,33.578333,-86.773889,10/28/2022,38,5.652532855,403.2685981,91.43847153,4871.794872,131034.4828,364.8583773
288,33.553056,-86.815,10/27/2022,30,4.462525938,318.3699459,72.188267,3846.153846,103448.2759,288.0460874
595,33.485556,-86.915,10/27/2022,37,5.503781991,392.6562666,89.03219597,4743.589744,127586.2069,355.2568411
841,33.331111,-87.003611,10/27/2022,30,4.462525938,318.3699459,72.188267,3846.153846,103448.2759,288.0460874
1078,33.545278,-86.549167,10/27/2022,33,4.908778532,350.2069405,79.4070937,4230.769231,113793.1034,316.8506961
1322,33.801667,-86.9425,10/27/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
1568,33.578333,-86.773889,10/27/2022,32,4.760027668,339.5946089,77.00081813,4102.564103,110344.8276,307.2491599
287,33.553056,-86.815,10/26/2022,25,3.718771615,265.3082882,60.15688917,3205.128205,86206.89655,240.0384061
594,33.485556,-86.915,10/26/2022,25,3.718771615,265.3082882,60.15688917,3205.128205,86206.89655,240.0384061
840,33.331111,-87.003611,10/26/2022,20,2.975017292,212.2466306,48.12551133,2564.102564,68965.51724,192.0307249
1077,33.545278,-86.549167,10/26/2022,24,3.570020751,254.6959567,57.7506136,3076.923077,82758.62069,230.4368699
1321,33.801667,-86.9425,10/26/2022,26,3.86752248,275.9206198,62.56316473,3333.333333,89655.17241,249.6399424
1567,33.578333,-86.773889,10/26/2022,22,3.272519022,233.4712936,52.93806247,2820.512821,75862.06897,211.2337974
286,33.553056,-86.815,10/25/2022,34,5.057529397,360.819272,81.81336927,4358.974359,117241.3793,326.4522324
593,33.485556,-86.915,10/25/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
839,33.331111,-87.003611,10/25/2022,30,4.462525938,318.3699459,72.188267,3846.153846,103448.2759,288.0460874
1076,33.545278,-86.549167,10/25/2022,28,4.165024209,297.1452828,67.37571587,3589.74359,96551.72414,268.8430149
1320,33.801667,-86.9425,10/25/2022,34,5.057529397,360.819272,81.81336927,4358.974359,117241.3793,326.4522324
1566,33.578333,-86.773889,10/25/2022,31,4.611276803,328.9822774,74.59454257,3974.358974,106896.5517,297.6476236
285,33.553056,-86.815,10/24/2022,46,6.842539772,488.1672503,110.6886761,5897.435897,158620.6897,441.6706673
592,33.485556,-86.915,10/24/2022,49,7.288792366,520.0042449,117.9075028,6282.051282,168965.5172,470.475276
838,33.331111,-87.003611,10/24/2022,43,6.396287178,456.3302558,103.4698494,5512.820513,148275.8621,412.8660586
1075,33.545278,-86.549167,10/24/2022,40,5.950034585,424.4932612,96.25102267,5128.205128,137931.0345,384.0614498
1319,33.801667,-86.9425,10/24/2022,48,7.140041501,509.3919134,115.5012272,6153.846154,165517.2414,460.8737398
1565,33.578333,-86.773889,10/24/2022,43,6.396287178,456.3302558,103.4698494,5512.820513,148275.8621,412.8660586
284,33.553056,-86.815,10/23/2022,58,8.627550148,615.5152287,139.5639829,7435.897436,200000,556.8891023
591,33.485556,-86.915,10/23/2022,58,8.627550148,615.5152287,139.5639829,7435.897436,200000,556.8891023
837,33.331111,-87.003611,10/23/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
1074,33.545278,-86.549167,10/23/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
1318,33.801667,-86.9425,10/23/2022,54,8.032546689,573.0659026,129.9388806,6923.076923,186206.8966,518.4829573
1564,33.578333,-86.773889,10/23/2022,45,6.693788908,477.5549188,108.2824005,5769.230769,155172.4138,432.0691311
283,33.553056,-86.815,10/22/2022,80,11.90006917,848.9865223,192.5020453,10256.41026,275862.069,768.1228997
590,33.485556,-86.915,10/22/2022,64,9.520055335,679.1892179,154.0016363,8205.128205,220689.6552,614.4983197
836,33.331111,-87.003611,10/22/2022,51,7.586294095,541.228908,122.7200539,6538.461538,175862.069,489.6783485
1073,33.545278,-86.549167,10/22/2022,50,7.437543231,530.6165765,120.3137783,6410.25641,172413.7931,480.0768123
1317,33.801667,-86.9425,10/22/2022,61,9.073802741,647.3522233,146.7828096,7820.512821,210344.8276,585.693711
1563,33.578333,-86.773889,10/22/2022,61,9.073802741,647.3522233,146.7828096,7820.512821,210344.8276,585.693711
282,33.553056,-86.815,10/21/2022,67,9.966307929,711.0262125,161.220463,8589.74359,231034.4828,643.3029285
589,33.485556,-86.915,10/21/2022,67,9.966307929,711.0262125,161.220463,8589.74359,231034.4828,643.3029285
835,33.331111,-87.003611,10/21/2022,61,9.073802741,647.3522233,146.7828096,7820.512821,210344.8276,585.693711
1072,33.545278,-86.549167,10/21/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
1316,33.801667,-86.9425,10/21/2022,77,11.45381658,817.1495278,185.2832186,9871.794872,265517.2414,739.3182909
1562,33.578333,-86.773889,10/21/2022,54,8.032546689,573.0659026,129.9388806,6923.076923,186206.8966,518.4829573
281,33.553056,-86.815,10/20/2022,38,5.652532855,403.2685981,91.43847153,4871.794872,131034.4828,364.8583773
588,33.485556,-86.915,10/20/2022,36,5.355031126,382.0439351,86.6259204,4615.384615,124137.931,345.6553048
834,33.331111,-87.003611,10/20/2022,36,5.355031126,382.0439351,86.6259204,4615.384615,124137.931,345.6553048
1071,33.545278,-86.549167,10/20/2022,37,5.503781991,392.6562666,89.03219597,4743.589744,127586.2069,355.2568411
1315,33.801667,-86.9425,10/20/2022,37,5.503781991,392.6562666,89.03219597,4743.589744,127586.2069,355.2568411
1561,33.578333,-86.773889,10/20/2022,34,5.057529397,360.819272,81.81336927,4358.974359,117241.3793,326.4522324
280,33.553056,-86.815,10/19/2022,27,4.016273345,286.5329513,64.9694403,3461.538462,93103.44828,259.2414786
587,33.485556,-86.915,10/19/2022,26,3.86752248,275.9206198,62.56316473,3333.333333,89655.17241,249.6399424
833,33.331111,-87.003611,10/19/2022,24,3.570020751,254.6959567,57.7506136,3076.923077,82758.62069,230.4368699
1070,33.545278,-86.549167,10/19/2022,26,3.86752248,275.9206198,62.56316473,3333.333333,89655.17241,249.6399424
1314,33.801667,-86.9425,10/19/2022,26,3.86752248,275.9206198,62.56316473,3333.333333,89655.17241,249.6399424
1560,33.578333,-86.773889,10/19/2022,22,3.272519022,233.4712936,52.93806247,2820.512821,75862.06897,211.2337974
279,33.553056,-86.815,10/18/2022,28,4.165024209,297.1452828,67.37571587,3589.74359,96551.72414,268.8430149
586,33.485556,-86.915,10/18/2022,28,4.165024209,297.1452828,67.37571587,3589.74359,96551.72414,268.8430149
832,33.331111,-87.003611,10/18/2022,24,3.570020751,254.6959567,57.7506136,3076.923077,82758.62069,230.4368699
1069,33.545278,-86.549167,10/18/2022,25,3.718771615,265.3082882,60.15688917,3205.128205,86206.89655,240.0384061
1313,33.801667,-86.9425,10/18/2022,27,4.016273345,286.5329513,64.9694403,3461.538462,93103.44828,259.2414786
1559,33.578333,-86.773889,10/18/2022,24,3.570020751,254.6959567,57.7506136,3076.923077,82758.62069,230.4368699
278,33.553056,-86.815,10/17/2022,37,5.503781991,392.6562666,89.03219597,4743.589744,127586.2069,355.2568411
585,33.485556,-86.915,10/17/2022,34,5.057529397,360.819272,81.81336927,4358.974359,117241.3793,326.4522324
831,33.331111,-87.003611,10/17/2022,31,4.611276803,328.9822774,74.59454257,3974.358974,106896.5517,297.6476236
1068,33.545278,-86.549167,10/17/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
1312,33.801667,-86.9425,10/17/2022,36,5.355031126,382.0439351,86.6259204,4615.384615,124137.931,345.6553048
1558,33.578333,-86.773889,10/17/2022,29,4.313775074,307.7576143,69.78199143,3717.948718,100000,278.4445511
277,33.553056,-86.815,10/16/2022,48,7.140041501,509.3919134,115.5012272,6153.846154,165517.2414,460.8737398
584,33.485556,-86.915,10/16/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
830,33.331111,-87.003611,10/16/2022,42,6.247536314,445.7179242,101.0635738,5384.615385,144827.5862,403.2645223
1067,33.545278,-86.549167,10/16/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
1311,33.801667,-86.9425,10/16/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
1557,33.578333,-86.773889,10/16/2022,42,6.247536314,445.7179242,101.0635738,5384.615385,144827.5862,403.2645223
276,33.553056,-86.815,10/15/2022,50,7.437543231,530.6165765,120.3137783,6410.25641,172413.7931,480.0768123
583,33.485556,-86.915,10/15/2022,46,6.842539772,488.1672503,110.6886761,5897.435897,158620.6897,441.6706673
829,33.331111,-87.003611,10/15/2022,43,6.396287178,456.3302558,103.4698494,5512.820513,148275.8621,412.8660586
1066,33.545278,-86.549167,10/15/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
1310,33.801667,-86.9425,10/15/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
1556,33.578333,-86.773889,10/15/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
275,33.553056,-86.815,10/14/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
582,33.485556,-86.915,10/14/2022,43,6.396287178,456.3302558,103.4698494,5512.820513,148275.8621,412.8660586
828,33.331111,-87.003611,10/14/2022,40,5.950034585,424.4932612,96.25102267,5128.205128,137931.0345,384.0614498
1065,33.545278,-86.549167,10/14/2022,43,6.396287178,456.3302558,103.4698494,5512.820513,148275.8621,412.8660586
1309,33.801667,-86.9425,10/14/2022,41,6.098785449,435.1055927,98.65729823,5256.410256,141379.3103,393.6629861
1555,33.578333,-86.773889,10/14/2022,39,5.80128372,413.8809296,93.8447471,5000,134482.7586,374.4599136
274,33.553056,-86.815,10/13/2022,37,5.503781991,392.6562666,89.03219597,4743.589744,127586.2069,355.2568411
581,33.485556,-86.915,10/13/2022,31,4.611276803,328.9822774,74.59454257,3974.358974,106896.5517,297.6476236
827,33.331111,-87.003611,10/13/2022,31,4.611276803,328.9822774,74.59454257,3974.358974,106896.5517,297.6476236
1064,33.545278,-86.549167,10/13/2022,33,4.908778532,350.2069405,79.4070937,4230.769231,113793.1034,316.8506961
1308,33.801667,-86.9425,10/13/2022,35,5.206280262,371.4316035,84.21964483,4487.179487,120689.6552,336.0537686
1554,33.578333,-86.773889,10/13/2022,28,4.165024209,297.1452828,67.37571587,3589.74359,96551.72414,268.8430149
273,33.553056,-86.815,10/12/2022,21,3.123768157,222.8589621,50.5317869,2692.307692,72413.7931,201.6322612
580,33.485556,-86.915,10/12/2022,21,3.123768157,222.8589621,50.5317869,2692.307692,72413.7931,201.6322612
826,33.331111,-87.003611,10/12/2022,19,2.826266428,201.6342991,45.71923577,2435.897436,65517.24138,182.4291887
1063,33.545278,-86.549167,10/12/2022,18,2.677515563,191.0219675,43.3129602,2307.692308,62068.96552,172.8276524
1307,33.801667,-86.9425,10/12/2022,24,3.570020751,254.6959567,57.7506136,3076.923077,82758.62069,230.4368699
1553,33.578333,-86.773889,10/12/2022,17,2.528764698,180.409636,40.90668463,2179.487179,58620.68966,163.2261162
272,33.553056,-86.815,10/11/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
579,33.485556,-86.915,10/11/2022,46,6.842539772,488.1672503,110.6886761,5897.435897,158620.6897,441.6706673
825,33.331111,-87.003611,10/11/2022,42,6.247536314,445.7179242,101.0635738,5384.615385,144827.5862,403.2645223
1062,33.545278,-86.549167,10/11/2022,39,5.80128372,413.8809296,93.8447471,5000,134482.7586,374.4599136
1306,33.801667,-86.9425,10/11/2022,50,7.437543231,530.6165765,120.3137783,6410.25641,172413.7931,480.0768123
1552,33.578333,-86.773889,10/11/2022,42,6.247536314,445.7179242,101.0635738,5384.615385,144827.5862,403.2645223
271,33.553056,-86.815,10/10/2022,48,7.140041501,509.3919134,115.5012272,6153.846154,165517.2414,460.8737398
578,33.485556,-86.915,10/10/2022,46,6.842539772,488.1672503,110.6886761,5897.435897,158620.6897,441.6706673
824,33.331111,-87.003611,10/10/2022,41,6.098785449,435.1055927,98.65729823,5256.410256,141379.3103,393.6629861
1061,33.545278,-86.549167,10/10/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
1305,33.801667,-86.9425,10/10/2022,46,6.842539772,488.1672503,110.6886761,5897.435897,158620.6897,441.6706673
1551,33.578333,-86.773889,10/10/2022,43,6.396287178,456.3302558,103.4698494,5512.820513,148275.8621,412.8660586
270,33.553056,-86.815,10/9/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
577,33.485556,-86.915,10/9/2022,42,6.247536314,445.7179242,101.0635738,5384.615385,144827.5862,403.2645223
823,33.331111,-87.003611,10/9/2022,37,5.503781991,392.6562666,89.03219597,4743.589744,127586.2069,355.2568411
1060,33.545278,-86.549167,10/9/2022,40,5.950034585,424.4932612,96.25102267,5128.205128,137931.0345,384.0614498
1304,33.801667,-86.9425,10/9/2022,41,6.098785449,435.1055927,98.65729823,5256.410256,141379.3103,393.6629861
1550,33.578333,-86.773889,10/9/2022,38,5.652532855,403.2685981,91.43847153,4871.794872,131034.4828,364.8583773
269,33.553056,-86.815,10/8/2022,44,6.545038043,466.9425873,105.8761249,5641.025641,151724.1379,422.4675948
